Name,X,Y,POP,NMV,SUM
Prvenci,46.40805,15.95483,233,217,6
Krasci,46.75121,16.03682,265,217,6
Cipnje,45.83531,13.8364,15,217,11
Hajnsko,46.20933,15.59067,156,217,11
Mlinsko,46.23688,13.58543,74,217,16
Kobarid,46.24761,13.57907,1121,217,25
Dornava,46.43667,15.95361,1267,217,25
Apace,46.69722,15.91056,528,218,1
Damelj,45.43911,15.1886,32,218,4
Bresnica,46.4406,16.03371,251,218,4
Dolje,46.19531,13.71291,157,218,6
Mala Dolina,45.85701,15.65979,92,218,7
Artice,45.95389,15.58778,312,218,14
Sveti Jurij ob Scavnici,46.5695,16.02347,204,218,36
Lacaves,46.45143,16.2444,129,219,3
Savci,46.47528,16.04806,233,219,9
Sela pri Volcah,46.13803,13.71431,85,219,11
Mostje,46.4575,15.95694,32,219,15
Sebeborci,46.71028,16.19917,473,219,18
Videm pri Ptuju,46.36861,15.90639,471,219,19
Slap ob Idrijci,46.12333,13.80472,242,219,27
Pribinci,45.53333,15.26667,59,220,2
Bratonecice,46.45889,16.05583,62,220,4
Gorenja Pirosica,45.8735,15.53874,134,220,4
Adlesici,45.52219,15.30648,118,220,5
Zgornja Pristava,46.35,15.83333,218,220,5
Lipovec,45.63333,15.18333,37,220,14
Ropoca,46.76146,16.03892,210,220,14
Straza pri Raki,45.92159,15.41215,167,220,31
Podcetrtek,46.15694,15.59861,528,220,41
Topolovci,46.73333,16.05,64,221,2
Crnci,46.69444,15.89139,299,221,4
Borovci,46.41861,15.94278,310,221,4
Cikecka Vas,46.72278,16.32139,84,221,5
Pacinje,46.45278,15.93472,204,221,6
Lemerje,46.71278,16.10278,273,221,10
Pobrezje,46.38472,15.87861,907,221,12
Ziberci,46.69874,15.85673,176,222,2
Zgornji Leskovec,46.33028,15.93694,157,222,4
Cerina,45.87875,15.60741,158,222,6
Markovci,46.39557,15.92831,462,222,14
Hvaletinci,46.50786,15.94805,108,223,1
Zepovci,46.69417,15.86972,396,223,2
Skofi,45.7832,13.73656,8,223,4
Stopice,45.76944,15.20967,445,223,4
Selisce,46.21288,13.65792,15,223,6
Hardek,46.41464,16.15969,273,223,6
Spodnja Hajdina,46.40889,15.84694,257,223,18
Dolenje Radulje,45.93766,15.33769,79,223,31
Pristava pri Sentjerneju,45.82373,15.28452,57,224,2
Gornje Cerovo,45.98278,13.56333,298,224,3
Trzec,46.36556,15.87194,410,224,9
Kraljevci,46.56667,16,157,224,17
Praprece,45.83861,14.91722,69,224,18
Spuhlja,46.4125,15.915,893,224,62
Grlinci,46.50333,15.94556,146,225,1
